iso_code,continent,location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,diabetes_prevalence,life_expectancy
ABW,North America,Aruba,509,113,55.429,3,0,0,4767.435,1058.389,519.159,28.099,0,0,47.22,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,563,54,63,3,0,0,5273.214,505.779,590.075,28.099,0,0,47.22,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,630,67,72.286,3,0,0,5900.755,627.541,677.048,28.099,0,0,47.22,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,717,87,83.571,3,0,0,6715.621,814.866,782.753,28.099,0,0,47.22,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,798,81,89.571,3,0,0,7474.29,758.668,838.951,28.099,0,0,47.22,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,894,96,90.143,4,1,0.143,8373.452,899.163,844.303,37.465,9.366,1.338,47.22,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,973,79,82.429,4,0,0.143,9113.388,739.936,772.049,37.465,0,1.338,47.22,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,1048,75,77,4,0,0.143,9815.859,702.471,721.203,37.465,0,1.338,47.22,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,1102,54,77,4,0,0.143,10321.638,505.779,721.203,37.465,0,1.338,47.22,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
ABW,North America,Aruba,1121,19,70.143,4,0,0.143,10499.597,177.959,656.977,37.465,0,1.338,58.33,106766,584.8,41.2,13.085,7.452,35973.781,11.62,76.29
